sweep,width_um,length_um,alpha_eff_per_um,parasitic_fF,series_ohm,velocity_m_per_s,absorbed_fraction,responsivity_a_per_w,rc_3db_hz,combined_3db_hz
geometry,0.5,15.0,0.12,15.0,50.0,60000.0,0.8347011117784134,0.9391584295786227,92937127728.15921,52023428040.447586
geometry,0.5,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,89245360648.84325,51258199002.62718
geometry,0.5,25.0,0.12,15.0,50.0,60000.0,0.950212931632136,1.0691257889133374,85836100255.4843,50501768375.56797
geometry,0.6,15.0,0.12,15.0,50.0,60000.0,0.8347011117784134,0.9391584295786227,94899381738.90533,46253656059.02069
geometry,0.6,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,45796187147.31671
geometry,0.6,25.0,0.12,15.0,50.0,60000.0,0.950212931632136,1.0691257889133374,88658405085.67607,45339612544.35678
geometry,0.7,15.0,0.12,15.0,50.0,60000.0,0.8347011117784134,0.9391584295786227,96352955192.79774,41378631896.04123
geometry,0.7,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,93489228560.30093,41092706099.54349
geometry,0.7,25.0,0.12,15.0,50.0,60000.0,0.950212931632136,1.0691257889133374,90790876874.73631,40805888776.61534
modal_absorption,0.6,20.0,0.06,15.0,50.0,60000.0,0.6988057880877979,0.7862567058557028,91672796876.5273,45796187147.31671
modal_absorption,0.6,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,45796187147.31671
modal_absorption,0.6,20.0,0.18,15.0,50.0,60000.0,0.9726762775527075,1.0944002738519,91672796876.5273,45796187147.31671
parasitic,0.6,20.0,0.12,5.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,216209552167.80637,53014210784.497765
parasitic,0.6,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,45796187147.31671
parasitic,0.6,20.0,0.12,30.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,49180706155.846375,35317460869.89286
series_resistance,0.6,20.0,0.12,15.0,10.0,60000.0,0.9092820467105875,1.0230726747365952,152787992457.5461,51045227021.715164
series_resistance,0.6,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,45796187147.31671
series_resistance,0.6,20.0,0.12,15.0,100.0,60000.0,0.9092820467105875,1.0230726747365952,61115193200.55208,39380999618.95765
carrier_velocity,0.6,20.0,0.12,15.0,50.0,30000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,26105536683.666157
carrier_velocity,0.6,20.0,0.12,15.0,50.0,60000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,45796187147.31671
carrier_velocity,0.6,20.0,0.12,15.0,50.0,90000.0,0.9092820467105875,1.0230726747365952,91672796876.5273,59071461093.47932
